iter	Passed	Remaining
425	1634	2201
426	1636	2196
427	1639	2190
428	1641	2185
429	1644	2180
430	1648	2175
431	1652	2173
432	1656	2168
433	1659	2164
434	1662	2158
435	1664	2153
436	1667	2148
437	1670	2142
438	1672	2137
439	1675	2133
440	1678	2127
441	1681	2123
442	1685	2119
443	1688	2114
444	1691	2109
445	1694	2105
446	1698	2101
447	1701	2096
448	1704	2092
449	1707	2086
450	1709	2081
451	1712	2076
452	1715	2071
453	1717	2066
454	1720	2060
455	1723	2055
456	1725	2050
457	1728	2045
458	1730	2040
459	1733	2034
460	1735	2029
461	1738	2024
462	1741	2019
463	1743	2014
464	1747	2009
465	1749	2005
466	1752	2000
467	1754	1994
468	1757	1989
469	1760	1984
470	1763	1980
471	1765	1974
472	1767	1969
473	1770	1964
474	1772	1959
475	1775	1954
476	1777	1949
477	1780	1944
478	1783	1940
479	1787	1936
480	1790	1932
481	1794	1928
482	1796	1923
483	1800	1919
484	1802	1914
485	1805	1909
486	1807	1904
487	1810	1899
488	1813	1894
489	1815	1889
490	1818	1884
491	1820	1879
492	1823	1874
493	1825	1870
494	1829	1866
495	1831	1861
496	1834	1856
497	1836	1851
498	1839	1847
499	1842	1842
500	1844	1837
501	1847	1832
502	1849	1827
503	1852	1822
504	1855	1818
505	1858	1814
506	1860	1809
507	1862	1804
508	1865	1799
509	1867	1794
510	1870	1790
511	1873	1786
512	1876	1781
513	1878	1776
514	1881	1771
515	1883	1767
516	1886	1762
517	1889	1758
518	1892	1753
519	1894	1749
520	1897	1744
521	1899	1739
522	1902	1735
523	1905	1730
524	1907	1726
525	1910	1721
526	1912	1716
527	1915	1712
528	1918	1708
529	1922	1704
530	1925	1701
531	1929	1697
532	1931	1692
533	1935	1688
534	1938	1685
535	1941	1680
536	1944	1676
537	1946	1671
538	1949	1667
539	1952	1663
540	1954	1658
541	1957	1654
542	1961	1650
543	1964	1646
544	1967	1642
545	1970	1638
546	1973	1633
547	1975	1629
548	1978	1625
549	1982	1621
550	1984	1617
551	1987	1613
552	1990	1609
553	1992	1604
554	1995	1600
555	1999	1596
556	2002	1592
557	2005	1588
558	2008	1584
559	2012	1581
560	2015	1577
561	2019	1573
562	2022	1569
563	2025	1565
564	2028	1561
565	2031	1557
566	2033	1553
567	2036	1548
568	2038	1544
569	2041	1539
570	2043	1535
571	2046	1531
572	2049	1527
573	2052	1523
574	2055	1519
575	2057	1514
576	2060	1510
577	2062	1506
578	2065	1501
579	2068	1497
580	2070	1492
581	2072	1488
582	2075	1484
583	2078	1480
584	2080	1476
585	2083	1471
586	2086	1467
587	2088	1463
588	2091	1459
589	2093	1454
590	2096	1450
591	2099	1446
592	2102	1442
593	2104	1438
594	2107	1434
595	2111	1431
596	2113	1426
597	2116	1422
598	2119	1418
599	2122	1414
600	2125	1411
601	2128	1406
602	2130	1402
603	2133	1398
604	2135	1394
605	2138	1390
606	2141	1386
607	2144	1382
608	2147	1378
609	2150	1374
610	2152	1370
611	2155	1366
612	2157	1362
613	2160	1358
614	2162	1353
615	2165	1349
616	2168	1345
617	2171	1342
618	2173	1338
619	2176	1334
620	2179	1330
621	2182	1326
622	2184	1322
623	2188	1318
624	2191	1314
625	2193	1310
626	2195	1306
627	2198	1302
628	2201	1298
629	2204	1294
630	2206	1290
631	2209	1286
632	2211	1282
633	2215	1279
634	2218	1275
635	2222	1271
636	2225	1268
637	2228	1264
638	2232	1261
639	2235	1257
640	2238	1253
641	2240	1249
642	2243	1245
643	2246	1241
644	2248	1237
645	2251	1234
646	2255	1230
647	2258	1226
648	2261	1223
649	2264	1219
650	2268	1215
651	2270	1212
652	2273	1208
653	2276	1204
654	2278	1200
655	2281	1196
656	2283	1191
657	2285	1187
658	2288	1183
659	2290	1180
660	2293	1176
661	2295	1172
662	2298	1168
663	2301	1164
664	2303	1160
665	2306	1156
666	2309	1152
667	2311	1148
668	2314	1144
669	2318	1141
670	2321	1138
671	2324	1134
672	2327	1131
673	2332	1128
674	2336	1124
675	2339	1121
676	2342	1117
677	2344	1113
678	2347	1109
679	2350	1106
680	2352	1102
681	2355	1098
682	2358	1094
683	2360	1090
684	2364	1087
685	2367	1083
686	2369	1079
687	2372	1075
688	2374	1072
689	2378	1068
690	2381	1064
691	2383	1060
692	2386	1057
693	2390	1053
694	2394	1050
695	2397	1047
696	2402	1044
697	2405	1040
698	2409	1037
699	2413	1034
700	2416	1030
701	2419	1027
702	2422	1023
703	2427	1020
704	2431	1017
705	2434	1013
706	2437	1010
707	2440	1006
708	2443	1003
709	2446	999
710	2449	995
711	2452	991
712	2455	988
713	2458	984
714	2461	981
715	2464	977
716	2466	973
717	2469	969
718	2472	966
719	2475	962
720	2477	958
721	2480	955
722	2482	951
723	2485	947
724	2488	944
725	2491	940
726	2494	936
727	2497	933
728	2500	929
729	2503	925
730	2506	922
731	2510	918
732	2512	915
733	2515	911
734	2517	907
735	2524	905
736	2527	901
737	2529	898
738	2532	894
739	2535	890
740	2539	887
741	2544	884
742	2548	881
743	2551	878
744	2555	874
745	2558	871
746	2561	867
747	2563	863
748	2566	860
749	2569	856
750	2572	853
751	2575	849
752	2577	845
753	2580	841
754	2583	838
755	2587	835
756	2590	831
757	2592	827
758	2595	824
759	2598	820
760	2600	816
761	2603	813
762	2605	809
763	2608	805
764	2611	802
765	2614	798
766	2616	794
767	2619	791
768	2622	787
769	2625	784
770	2628	780
771	2632	777
772	2636	774
773	2639	770
774	2642	767
775	2646	763
776	2649	760
777	2652	756
778	2654	753
779	2656	749
780	2659	745
781	2663	742
782	2667	739
783	2671	736
784	2675	732
785	2678	729
786	2681	725
787	2684	722
788	2687	718
789	2690	715
790	2694	711
791	2697	708
792	2700	704
793	2702	701
794	2705	697
795	2707	693
796	2711	690
797	2715	687
798	2718	683
799	2721	680
800	2723	676
801	2729	673
802	2732	670
803	2735	666
804	2738	663
805	2742	659
806	2744	656
807	2747	652
808	2750	649
809	2752	645
810	2755	642
811	2759	638
812	2763	635
813	2765	631
814	2768	628
815	2771	624
816	2774	621
817	2777	617
818	2779	614
819	2782	610
820	2785	607
821	2788	603
822	2792	600
823	2795	597
824	2798	593
825	2801	590
826	2807	587
827	2810	583
828	2813	580
829	2817	577
830	2820	573
831	2823	570
832	2826	566
833	2829	563
834	2831	559
835	2834	556
836	2837	552
837	2840	549
838	2844	545
839	2846	542
840	2849	538
841	2852	535
842	2855	531
843	2858	528
844	2860	524
845	2863	521
846	2865	517
847	2868	514
848	2871	510
849	2874	507
850	2876	503
851	2879	500
852	2881	496
853	2884	493
854	2887	489
855	2891	486
856	2894	482
857	2896	479
858	2900	476
859	2903	472
860	2906	469
861	2908	465
862	2911	462
863	2914	458
864	2917	455
865	2920	451
866	2922	448
867	2925	444
868	2927	441
869	2931	438
870	2935	434
871	2937	431
872	2940	427
873	2942	424
874	2945	420
875	2948	417
876	2951	413
877	2954	410
878	2956	406
879	2959	403
880	2961	400
881	2964	396
882	2967	393
883	2970	389
884	2973	386
885	2979	383
886	2984	380
887	2987	376
888	2990	373
889	2993	370
890	2996	366
891	2999	363
892	3003	359
893	3007	356
894	3011	353
895	3016	350
896	3019	346
897	3023	343
898	3026	340
899	3029	336
900	3032	333
901	3035	329
902	3038	326
903	3041	322
904	3043	319
905	3046	316
906	3049	312
907	3051	309
908	3054	305
909	3057	302
910	3061	299
911	3064	295
912	3067	292
913	3071	289
914	3075	285
915	3079	282
916	3083	279
917	3086	275
918	3089	272
919	3091	268
920	3095	265
921	3098	262
922	3101	258
923	3105	255
924	3111	252
925	3114	248
926	3117	245
927	3120	242
928	3124	238
929	3127	235
930	3129	231
931	3132	228
932	3134	225
933	3138	221
934	3141	218
935	3144	215
936	3147	211
937	3150	208
938	3157	205
939	3160	201
940	3163	198
941	3166	194
942	3169	191
943	3172	188
944	3175	184
945	3178	181
946	3182	178
947	3187	174
948	3190	171
949	3193	168
950	3197	164
951	3202	161
952	3205	158
953	3207	154
954	3210	151
955	3213	147
956	3216	144
957	3219	141
958	3222	137
959	3224	134
960	3227	130
961	3230	127
962	3233	124
963	3235	120
964	3238	117
965	3241	114
966	3244	110
967	3247	107
968	3251	104
969	3254	100
970	3256	97
971	3259	93
972	3261	90
973	3264	87
974	3267	83
975	3269	80
976	3272	77
977	3274	73
978	3277	70
979	3280	66
980	3283	63
981	3287	60
982	3289	56
983	3292	53
984	3295	50
985	3299	46
986	3301	43
987	3304	40
988	3306	36
989	3310	33
990	3314	30
991	3317	26
992	3320	23
993	3323	20
994	3327	16
995	3331	13
996	3334	10
997	3337	6
998	3339	3
999	3344	0
